Book	Smell_Word	Smell_Source	Quality	Odour_Carrier	Evoked_Odorant	Location	Perceiver	Time	Circumstances	Effect	SentenceBefore	Sentence	SentenceAfter
bl08001	odour	with	good								' ' That man is a capitalist and an ironmaster .	' ' In good odour with his employes — yes .	' ' Do you think Gladstone will befriend the Labour Party ? ' ' I don ' t believe any existing party will help the People ! But if you think I trust Gladstone , you must think me a fool .
bl08001	scented|scented	coffee	strongly - scented|scented								But they made way for her , half civilly , half indifferently , and her mission was soon done .	Springing away from the board covered with large cups of dark , strongly - scented coffee , and edging her way between great frieze - covered elbows and huge shoulders , owned by corduroy - clad men , she proceeded proceeded back more rapidly than she had come .	The streaks of light had widened , and the way , with its slippery gutters , was not so dangerous .
bl08001	savour|smells	it	somewhat earthy								together .	AVhat would you have otherwise ? ' ' I know it is the only way by which people can be together and respectable , which word is supposed to have a godlike savour , though it smells to me somewhat earthy , ' said Katherine , contemptuously ; ' but we are too blind to the want of respectability in people who make each other ' s lives miserable , and probably hate each other , being tied together by the closest and most coercive bond .	' People needn ' t tie themselves together unless they choose .
bl08001	fragrance|perfume	palms|ferns|one or two towering lilies|their|of the moss - hidden violets	almost too heavy		that						26 + 9 The Radical ' s Wife visible between the thick - piled , light - coloured rugs .	No palms or ferns encouraged creeping things , or stood like bazaar articles on old barrels draped in Eastern rags ; but one or two towering lilies mixed their fragrance with that of the moss - hidden violets in a gigantic bowl , which gave a perfume almost too heavy save for the breezes that came through the open - latticed window .	In the midst of this sat the woman — always the woman , no matter who else was by — a part of it , the picture in its frame .
bl08001	scented|scented	April	sweet|scented|scented	air							It was late in the afternoon , when the sun had done its work and the evening breeze made the water ripple and the timid poplars sway .	Looking out on this beauty , drinking in the sweet - scented April air , sat a young woman at an upper , small - paned window .	The room she sat in , though not large , was cool , refreshing , exquisite to the eye .
bl08001	breath|scent	of poppy|of the pink and golden honeysuckle	fading|richer	with the autumn							The burning sun had gone ; it was the late afternoon , before the shades of even .	The dust on the dark green hedgerows had a paler tinge , and a great hush crept over the grainladen grainladen fields , while with the autumn dews came the fading breath of poppy , and the richer scent of the pink and golden honeysuckle that clambered near them across the long grass - grown ditch .	The August evening seemed filled with peace , and Katherine gazed , as in a dream , on the mere wild blossoms in her lap .
bl08001	scent	of the summer roses		the breeze						could carry her away	' existence .	' Katherine looked as if the breeze that brought the scent of the summer roses round her could carry her away .	' You want a complete change .
bl08001	scent	prickles of the gorse bushes					You|all the Northern ' Arries and Arriets				' ' AVhat is that ? ' asked Katherine , with all solemnity .	' My dear Kate , ' he exclaimed ' you in your ignorance might call it H — but it is popularly called The ' Eath ! You ' ll find all the Northern ' Arries and Arriets there enjoying the scent and prickles of the gorse bushes .	' Katherine laughed .
bl08002	fragrant|fragrant	of the incense|a peanut - oil	fragrant|fragrant	smoke							A Avalk through the narrow streets — or rather alleys as Ave would call them , for many are not wider than our sideAvalks — Avould sIioav a sight unusual to Western eyes .	In the early evening the fragrant smoke of the incense arises from the door - shrines ; each place of business has its lantern hanging at the door inscribed with the name of the shop , while in the middle of the street , above the heads of the passers - by , is hung a peanut - oil lamp .	In most of the open shops this oil has given way to American or Russian kerosene .
bl08002	smelling|smelling|smelling|smelling		foul|smelling|smelling foul - smelling|smelling								But when once they get sick the difference between them and ourselves becomes manifest , much to their disadvantage .	Lying on a hard board Avith nothing but a mat beneath him , often in a dark , foul - smelling foul - smelling room , with no sunlight or fresh air , with none of the neatness and quiet that we associate Avith the sick - room , the patient is in a miserable plight .	With a man it is often bad enough , but with a woman it is usually worse .
bl08002	fragrant|fragrant|incense	Avood ( Santalum Pyrularium|their	fragrant|fragrant								In speaking of Chinese emigrants we should not omit those avIio have gone to the Sandwich Islands .	These islands are known to the Chinese as the Wood for this fragrant Avood ( Santalum Pyrularium ) is much valued in China as one of the constituents of their incense as well as the material from which they make carved boxes , paper - knives , etc .	The intercourse bet / ween China and these islands has existed for a century , and so many Chinese have settled there that it was stated a few years ago that the Chinese men Avere more numerous than the native HaAvaiian men ; of course there are more native Avomen , for feAv Chinese Avomen emigrate .
bl08002	stenches	they								that would make a European European ill .	Thus the Embassies to the West have been a factor in China ' s aAvakening , RECONSTRUCTIVE FORCES — CONTINUED .	227 poor are minus everything that makes for comfort or conduces to health , and in times of sickness the condition of the sufferers , especially if they have the misfortune to be women , is extremely The nasal organs of the Chinese seem to be deficient deficient in sensitiveness , and they endure with apparent apparent impunity stenches that would make a European European ill .	Many of their rooms are dark and damp .
bl08002	foul|foul	The sewers	foul|foul			in the cities					Many of their rooms are dark and damp .	The sewers in the cities are frequently foul , and often , through superstitious notions , are so constructed constructed that the sewage collects in them instead of floAving off .	Most of the villages in South China O O have pools into Avhich all refuse matter is cast .
bl08003	odour	of hay or oats	stray	the wind			to their wide nostrils				They reached at last the ascent from the parish road to Castle Warlock .	This was so steep that their conductors , though they held no conference on the subject , were both anxious as to the behaviour of the horses ; but the moment their heads came round , whether only that it w * as another turn with its fresh hope , or that the wind brought some stray odour of hay or oats to their wide nostrils , I cannot tell , but finding the ground tolerably clear , they took the brae with a wiU , and tore up with the last efforts of a strength all but exhausted , Cosmo and Aggie running beside them , and talking to them all the way .	The only difficulty was to make the lad on the box give them head enough .
bl08003	smelling	of earth and decaying wood		the cold , damp air							A wooden chair stood in the middle of the room , and on it a bottle and teacup ; not another article was visible .	Under the hole in the ceiling a hole was rotted in the floor , and the cold , damp air , smelling of earth and decaying wood , that filled the place , must come up there , he thought A few minutes ' rest and he would rise 1 He must come to himself a little first 1 — Now he THE LUMINOUS NIGHT .	161 He would not have us think we know him before we do .
bl08003	stinks|nose						his				My lord ne ' er sets his nose intil the gairden , or speirs — no ance in a twalmonth — hoo things is gangin ' on .	He dis naething but rowt aboot in ' s boaratory , as he oa ' s ' t — bore - a - whig or bore - a - tory , it ' s little to me ! — makin ' stinks fit to scomfish a whaul , an ' gar ' im stick his nose ' aneth the watter to get a glamp o ' fresh air .	He ' s that hard - hertit he never sae muckle as chows his denner anent his ain sister ' cep ' whan he has company an ' wad luik like ither fowk .
bl08003	scent|odour	of|from the oakbark oakbark|of burning peat	strong	the air			he	Now			As Cosmo passed along , he saw every craftsman in the place at work ; from blacksmith to tailor all were busy .	Now and then he was met by a strong scent , as of burning leather , from the oakbark oakbark which , after its astringent power had been exhausted in the tanpit some of the housewives used for fuel ; but mostly the air was filled with the odour of burning peat .	He knew almost everybody , and was kindly greeted as he went along — nor the less that some of them , when they heard he was not at school the day before , had remarked that his birthday hardly brought him enough to keep it with .
bl08003	scent|nostrils	of the flowers					he|his|his				The sky was a region of endless hopes and ever recurrent recurrent despairs ; that the beloved earthly thing should rise there , gave him one homely fact concerning the unknown and appalling .	But from the sky he was sent back to the earth in yet farther pursuit ; for whence came the rain , as his books told him , but from the sea ? The sea he had read of , though never yet beheld , and he knew it magnificent ; gladly , as he thought with himself under the wall , would he have hailed it an intermediate betwixt the sky and the earth , with the sky coming first , but , alas , the sea was before the sky in the order of the stream ' s genesis 1 And then , worse and worse ! how was the ocean fed but from the torrent ? How was the sky fed but from the ocean ? How was the dark fountain fed but from the sky ? How was the torrent fed but from the fountain ? As he sat in the hot garden , leaning against the old gray castle , the nest of his family for countless generations , with the scent of the flowers in his nostrils , and the sound of the bees in his ears , he became aware that he had lost the stream of his childhood — the mysterious , infinite idea of endless , inexplicable , original birth , of outflowing because of essential essential existence within .	There was no production any more , nothing but the merest rushing around , like the ring - sea of Saturn , in a never ending circle of formal change ! Like a great dish , the mighty ocean was skimmed in particles invisible ; these were gathered aloft into sponges all water and no sponge ; and thence through many an airy , many an earthly channel , deflowered of its mystery , his ancient , self - producing fountain to a holy , merry river , was fed — only fed I It was but a cistern after all ! He grew very sad , and well he might .
bl08003	snuff|smelt	a few|of something|of opium									There were three of them , each forming a small box .	In the first were a few grains of snuff , in the second a little of something that looked like gold dust , and the third smelt of opium .	The top of the cane had a cap of silver , with a screw ; this went into the lower part of the horse , and made of it a crutch - handle to the stick .
bl08003	scents	of the flowers					his				thought he , if their honey is sweet to them with the same sweetness with which it is sweet to me , then there is something in the make of the bee that ' s the same with the make of me ; and perhaps a man might some day , if he wanted , try the taste of being a bee all But to see him , nobody would have thought he was doing anything but basking in the sun .	The scents of the flowers about his feet came borne on the eddies of the air , and paid my lord many a visit in the ante - chamber , his brain ; the windy noises of the insects , the watery noises of the pigeons , the family noises from the poultry - yard , the rushing song of the mountain mountain river , all visited him through the portals of his ears ; but at the moment the boy seemed lost , not in thought as was the fact , but in the fundamental enjoyment of mere existence .	Neither , although broad summer was on the earth , and all the hill - tops and as much of the valleys as their shadows did not hide were bathed in sunlight , although the country was his native land , V 84 A List of TRENCH , Archbishop .
bl08003	reek	herts|licht									O my God , latna the sunshiny Mammon creep intil my Cosmo ' s hert an ' mak a ' mirk ; latna the licht that is in him turn to darkness .	God hae mercy on his bairns , an ' no lat the playocks tak their e ' en frae the han ' ' at gies them ! May the licht noo streamin ' frae the hert o ' thae bonny stanes be the bodily presence o ' thy speerit , as ance was the doo descendin ' upo ' the maister , an ' the buss ' at burned wi ' fire an ' wasna conshumet Thoo art the father o ' lichts , an ' a ' licht is thine : gar oor herts burn like thae stanes — a ' licht an ' nae reek ! An ' gien ony o ' them in auld time cam in by a wrang door , grant ilk ane to gang oot by a richt ane .	Thy wull be dune , which is the purifyin ' fire o ' a ' thing , an ' a ' sowl ! THE CASTLE INN .
bl08003	aroma		much			here					Lord Mergwain listened to the glug - glug in the long neck of the decanter as a lover might to a song of love , and the moment it ceased was holding the glass to his nose .	Humph ! not much aroma here ! he grumbled .	I ought A REST .
bl08003	scent|scent	of the homely flowers|their		It		on the chimney - piece					But what ! was I traitor enough to call such a dinner a poor one ! Truth and Scotland forgive ' me , for I know none so good ? And after dinner — immediately , for the laird had long ago given up his toddy — they went to the drawingroom , drawingroom , an altogether pleasant place now in the summer .	It was full of the scent of the homely flowers Grizzie had stuck in the old vases on the chimney - piece , and their scent harmonized strangely with the slow - vanishing colours of the room .	The laird laid himself himself down on the brocade - covered sofa , and Cosmo sat close beside him on a low chair , and talked , and told him this and that , and read to him , till at last the old man fell asleep , and then Cosmo , having softly spread a covering over him , sat brooding upon things sad yet pleasant , until he too fell asleep , and went to Joan in his dreams .
bl08003	odours		evanescent								He had never save in his dreams felt the radiance of beauty ; and never a dream had shone like the reality that now folded him in bliss .	For isolating winter stretched miles and miles around the old paradise of his mother ' s drawing - room , where , in the glowing twilight of a flamy fire , whose shadows flickered at their wild will over all the magic room , he sat at the feet of a lady , with eyes black as night , but alive with a radiance no sun could kindle , with a hand like warm snow , in garments lovely as the clouds that clothe a sunset , who inhabited an atmosphere of evanescent odours , each a dream from beyond the stars , while the darkness that danced with the firelight played endless variations on the theme of her beauty .	Long had he sat lost in the dream - haunted gorgeous silence , when suddenly he bethought himself of his duty towards his heavenly visitant .
bl08003	stinks						he				189 She gangs whiles to the doctor ' s .	He ' s a kin ' o ' a freen ' o ' the yerl ' s : he likes stinks .	That ' s the yoong doctor , I Does the earl never take her with him anywhere AA ' haur sud that be ? There ' s naebody cares a bodle aboot his lordship i ' the haill country - side .
bl08003	smell|stinks		new								That ' s the yoong doctor , I Does the earl never take her with him anywhere AA ' haur sud that be ? There ' s naebody cares a bodle aboot his lordship i ' the haill country - side .	Ane or twa — great men , I daursa daursa — whiles comes doon frae Lon ' on to smell the new stinks he ' s fun ' oot ; but deil a neibour comes nigh the hoose .	Ow , he ' s a great man , I makna a doobt — awa ' frae hame ! He ' s aye writin ' letters to the newspapers , an ' they ' re aye prentin ' at them — aboot this an ' aboot that , — aboot beasties i ' the watter , an ' lectreesity , an ' I kenna what a ' ; an ' it ' s said he ' ll be a rich man the moment he ' s dune fin ' in ' oot something or ither he ' s been warslin ' at for the feck o ' a ten year or sae .
bl08003	smell|perfume|perfume				of a		you|to some nostrils				From many a spot you might look in all directions without seeing a sign of human or other habitation .	Even then , however , you might , to be sure , most likely smell the perfume — to some nostrils it is nothing less than perfume — of a peat fire , although you might be long in finding out whence it came ; for the houses , if indeed the dwellings dwellings could be called houses , were often so difficult to distinguish from the ground on which they were built , that except the smoke of fresh peats were coming pretty freely from the wide - mouthed chimney , it required an experienced eye to discover the human nest .	The valleys that opened northward produced little ; there in some years the snow might be seen lying on patches of oats yet 248 CASTLE WARLOCK .
bl08003	snuff						He				He was not now a very pleasant lord to look on , whatever he might once have been .	He was red - faced and blear - eyed , and his nose , partly from the snuff ' he took in large quantity , was much injured in shape and colour : closer description the historical muse declines .	His eyes had once been blue , but tobacco , potations , revellings day and night — everything but tears , had washed from them the most of their colour .
bl08003	smell	of the commonest flower							In certain moods	would drive him half crazy with delight	To enjoy life , however , it was to him enough to lie in the grass .	In certain moods the smell of the commonest flower would drive him half crazy with delight .	On a holiday his head would be haunted with old ballads like a sunflower with bees : on other days TOO SURE , TOO LATE .
bl08005	odours	Flowers|pleached alleys|various coloured grapes|peaches|apricots|nectarines|Wisterias|Wisterias|laburnums|Virginia creepers	aromatic								There were few houses near it , as it was then counted out of but the lots were neatly fenced in , and in the course of a short time a tiny demesne , which , if not resembling Goshen , was suggestive at least of the far - famed Garden of arose as if by magic .	Flowers of exquisite hue and aromatic odours ; pleached alleys in which various coloured grapes , peaches , apricots , and nectarines contended for supremacy ; Wisterias , Wisterias , laburnums , and Virginia creepers — all were there .	The place was admired by tens of thousands , and often have XXVI MEMOIR OF HEW AINSLIE .
bl08005	fragrance					in the desert	I				The place was admired by tens of thousands , and often have XXVI MEMOIR OF HEW AINSLIE .	I stood in silent delight inhaling the fragrance and enjoying enjoying the beauty of this oasis in the desert , totally unconscious unconscious of the enchanter whose spell had awoke such floral harmonies in rude undigested Gotham .	But had I again visited the spot at the shut of some July eve or the following morning about sweet hour of there might have been discovered through the bosky vistas a spare gigantic figure passing leisurely along the walks , caressing here a drooping rose and dropping benediction there over a crushed lily , conspicuous conspicuous by his his ruddy cheeks , his long beard , white as snow , and bearing on his ample bosom the never - failing red breast - pin — his only ornament ; and under this guise might have been recognized a form not unlike that of Scotland ' s well - beloved poet — Hew Ainslie .
bl08005	scent	of a city					those				The spirits with which our three representatives of immortal immortal mendicity , Edie Ochiltree , Jinglin Jock , and the Lang Linker , bad adieu to Edina , Scotia ' s darling seat , A PILGRIMAGE TO THE LAND OF BURNS .	12 can only be rightly appreciated by those whose senses have been long familiarised to the smoke , sound , and scent of a city , but to which their spirits stubbornly refuse ever to naturalise , from an inborn love of Nature , or perhaps perhaps from the circumstance of having spent their most susceptible days where Wild woods grow and rivers row , Wi ' mony a hill The general appearance which our pilgrims exhibited , both as to equipage and equipment , on the 23rd June , 1820 , as at daybreak they bore away into the high road that leads to Lanark , though it had little in common with the dashing of modern tourists , seemed to a considerable extent to wear the uniform of their purpose .	Their vehicle , vehicle , a machine of the curricle family , more notable for its capacity and convenience than for the flourish of its trappings or the freshness of its fancy , was kept rapidly and steadily in motion by a noble aiver that had frequently , frequently , with more lumber behind him , run fifty miles beneath one sun .
bl08005	scented|scented	ware	scented|scented								It ' s rare to see the morning bleeze , Like a bonfire frae the sea ; It ' s fair to see the burnie kiss The lip o ' the flowery lea ; An ' fine it is on green hill side , When hums the hinny bee ; But rarer , fairer , finer far , Is the ingle side to me .	Glens may be gilt wi ' gowans rare , The birds may fill the tree , An ' haughs hae a ' the scented ware That simmer ' s growth can gie ; But the canty hearth where cronies meet , An ' the darling o ' our e ' e — That makes to us a warl ' complete , O , the ingle side for me ! Next morning our pilgrims , in spite of yesterday ' s fatigues , and eke the tempting softness of their couches , had inspected the town and vicinity of Strathaven , ere the hand of the hired labourer had lifted his tools ; and , shortly aster , they were to be seen snugly seated in their travelling machine , upon that extensive moor , famous A PILGRIMAGE TO THE LAND OF BURNS .	27 and notable as the scene of the memorable struggle of Drumclog .
bl08005	snuff	quantity of very dry macuba									Convinced , therefore , that nothing more could be made of him at that sitting , Edie and John , his respective querist and auditor , were preparing preparing to depart , when their attention was demanded to that part of the room to which the Linker had retired almost at entering , for the purpose of studying — being a sort of draughtsman — the Bard ' s picture , and where he now sat , with his eyes shut and his arms folded across his breast , evidently asleep , or in a most profound state of mental abstraction .	After they had gazed for some time on the inanimate trunk of the long lad , John proposed that means should be instantly resorted to for his restoration , and drawing forth his ram ' s horn , spoke of effecting it by a snuff ; so , catching most dexterously the exact moment when the Linker ' s lungs were at the extreme ebb of respiration , he applied to his nose a large quantity of very dry macuba , when suddenly , with a sweep and current , it went snoring up like dust in a whirlwind , and almost instantaneously , or in the relationship of the flash of a pistol to its report , the Linker awoke with a sneeze that made the riggin ' On arriving at his average state of sensibility he nevertheless nevertheless continued to speak to his companions like a gifted man , protesting he had been in a trance and in a vision .	No sooner , therefore , had they got out of the drouthy Miller ' s hands , properly re - seated and in motion , than he proceeded to relate : — 68 A PILGRIMAGE TO THE LAND OF BURNS .
bl08005	snuff|snuff|snuff|snuff	o ' tobacco		snuff|snuff							But if you ' d step roun ' an ' gie Willy and Tam yonner a wink into another room , I ' ll let you hear a blether I ' ve been stringing up on twa o ' these wechty personages .	' Davie Sillers , with the springing step of a man whose heart is in his errand , went round to collect the chosen few among whom I flattered myself I was to be included ; so was rising hastily up to retire to ' the feast of reason and the flow of soul , ' when Jock ' s confounded application of snuff to my snout blew up the whole Sorrow be in ' t ; said Edie , snuff was never ony great favourite or pouch companion o ' mine , but I ' ll like it waur now than ever when I think that the best dream that ever the Linker dreamed , or is likely to dream , was blawn to bits by a snuff o ' tobacco .	O ! wae be on ' t , its makers and takers While Edie was delivering , with his teeth set , this anathema against the staple of Virginia , the eastern or bell gable of Kirk Alloway burst upon them , and at one glance bound up for ever in the manufacturing cells of John ' s mentals , a spirited and excellent defence of black rappee ; seeing he was a considerable destroyer thereof , and conceiving not improperly that the sweeping cause of Edie ' s edict rather took him by the nose .
bl08005	reeking						their				A younger brother was likewise of the household ; one in whom the ornaments of education and study were growing strongly up amidst the virtues of his elder brother .	After supper , albeit our travellers had been asteer some nineteen hours , and not idle ones either , in the sun and wind of Heaven , no sooner had their jovial landlord some Arran water , alias Highland whisky , wi ' reeking than , with the unconquerable courage of true valour , they staunchly took their ground before it , as determined on its destruction as if it had been the first attack of the day — each toast and joke of the landlord ' s kindling and beeting their mirth ; till , on the out edge of reason , the Linker arose , ( by the assistance of the board ) and declared he would not open his mouth to another laugh until his old friend should sing them one of his good ancient drinking songs .	Mr .
bl08005	breath|scent						his guests				In fact , it seemed as if the sun and he were at strife who should have the first brush at the dewy fields , and long ere crowdy time he had set the machinery of his farm effectively to work , and made the rest of the day his own .	He found his guests ( after he had shaken them into consciousness ) all labouring under that severe , though happily not epidemic distemper known by the name of Their breath came forth like steam , their eyes seemed set in coral , their mouths were dry as snuff - boxes , and their tongues rattled therein like unto scent beans .	Fresh air and water were the medicines they craved , and their landlord procured them both in delicious plenty at the south end of his dwelling .
bl08005	smell	they								to thy heart ' s content	Thou taught this hand to plet snoods , cast the fisher ' s knot , spin lines , whoop hooks , and busk flies .	May thy set line ne ' er be tanked wi ' eels or thy cast line catch on allers ; may the cocks and ketties fa ' before thy cudgel ; aye , and may they smell under pickle to thy heart ' s content .	Blest ' be thy basket and thy store , kail and potatoes .
bl08005	breath Smells		wooingly			here					The swallow , too , bears testimony in favour o ' the place , for Shakespeare says , who knew baith man an ' beast — ' This guest of Summer does approve .	By his loved mansionry , that the heaven ' s breath Smells wooingly here ; Where they most breed and haunt , I have observed The air is delicate .	' Indeed , with regard to the whole winged he continued , barring always angels and insects — my knowledge not reaching the one or descending to the other — I ' m bound to say that not only in the beauty of their buildings but in the choice of sites , touching neighbourhood , exposure , and general indications of no A PILGRIMAGE TO THE LAND OF BURNS .
bl08005	smell	o ' the auld feudal doctrine									Tho ' thou ' rt an outlaw frae this Ian ' , The warl ' s braid an ' wide : Make room , make room , my merry men For young Sir Arthur ' s bride ! The next is wrought out o ' mair hamely materials , and evidently lies a lang gate nearer our ain day — when clansmen , throwing by lots o ' their foolish valour and devotion , and riving up the auld deep - dauded tether sticks o ' their allegiance , began to grow into tacksmen , and lords to dwindle into lairds .	There is , however , I maun say , a smell o ' the auld feudal doctrine in ' t — viz .	, that gentlemen sou ' d hae their will .
bl08005	reek	the soul									n6 A PILGRIMAGE TO THE LAND OF BURNS .	my cried Edie in triumph ; & # 34 ; there ' s a blaw for ye — a reek , I may say , o ' the soul boiled out frae the blood o ' some o ' our gallant forebears .	What think ye o ' thae alms , John , that I picked this morning out o ' ' Time ' s wallet for oblivion ? ' & # 34 ; It ' s truly wonnerfu ' , & # 34 ; replied John , attempting to look damp , while recollecting Edie ' s base nasal comment on his bat ballad .
